ID,Category,Pet Type,Difficulty,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation,Is Active
84,Breed & Species Trivia,Dog,Easy,What was the Dachshund originally bred to do?,Herd cattle on farmland,Hunt badgers underground — their long body and short legs were designed to enter burrows,Race on tracks,Guard estates at night,B,"'Dachs' means badger in German, and 'hund' means dog. Their elongated body, strong forepaws, and loud bark were all traits selected for underground hunting. They also hunted rabbits and foxes.",Yes
85,Breed & Species Trivia,Dog,Hard,Approximately how many dog breeds does the FCI (Fédération Cynologique Internationale) officially recognise?,Around 50,Around 180,Around 360,Around 500,C,"As of 2024, the FCI recognises around 360 official breeds grouped into 10 categories based on function and origin. Other kennel clubs (AKC, UKC) may recognise different numbers as standards vary by organisation.",Yes
86,Breed & Species Trivia,Dog,Easy,What colour are Dalmatian puppies when they are born?,Fully spotted from birth,Completely white — the spots develop over the first few weeks of life,Grey with faint spots,Light brown,B,"Dalmatian spots are not present at birth. Puppies are born pure white and spots begin appearing at 3–4 weeks, continuing to develop until about 18 months. Each Dalmatian's spot pattern is unique.",Yes
87,Breed & Species Trivia,Cat,Easy,Which is the largest domestic cat breed in the world?,Siamese,Persian,Maine Coon,British Shorthair,C,"Maine Coons are the largest domestic cat breed, with males regularly reaching 6–9 kg and up to 1 metre in length. They are known for their tufted ears, bushy tails, and dog-like temperament.",Yes
88,Breed & Species Trivia,Cat,Easy,Cats have a special reflective layer behind their retinas called the tapetum lucidum. What is its function?,It helps them distinguish more colours than humans,"It amplifies available light, allowing them to see in near-darkness",It detects movement at long distances in daylight,It allows them to see infrared light,B,"The tapetum lucidum reflects light back through the retina a second time, giving photoreceptors a second chance to detect it. This is also why cats' eyes glow in photos or torchlight.",Yes
89,Breed & Species Trivia,Other,Medium,Guinea pigs cannot produce their own vitamin C. What happens if their diet lacks it?,Their coat becomes dull and their nails grow faster,"They develop scurvy — causing lethargy, swollen joints, internal bleeding, and poor wound healing",They gain weight,Nothing — they store vitamin C from birth and release it gradually,B,"Like humans, guinea pigs lack the enzyme to synthesise vitamin C. They must get it daily from fresh vegetables (bell peppers are ideal) or supplements. Scurvy progresses quickly and is fatal if untreated.",Yes
90,Pet Law & Rights,All Pets,Medium,"When travelling internationally with a pet that has been vaccinated against rabies, what timing rule applies in most countries?",The vaccine can be given the same day as travel,The rabies vaccine must have been administered at least 21 days before travel and be recorded in the EU Pet Passport,Only required for travel outside Europe,Required only for dogs over 6 months old,B,"The 21-day waiting period ensures the vaccine has had time to provide effective immunity. If you miss this window, your pet may be refused entry or quarantined at the border.",Yes
91,Pet Law & Rights,All Pets,Medium,What does 'duty of care' mean for pet owners under most European animal welfare laws?,Pets have no recognised legal protections in most countries,"Owners are legally required to meet their pet's needs for food, water, shelter, veterinary care, and appropriate behaviour expression",Only commercial breeders have formal legal duties toward animals,It only applies to breeds classified as dangerous,B,"The Five Freedoms (or Five Needs in modern frameworks) — freedom from hunger, discomfort, pain, fear, and the freedom to express normal behaviour — underpin animal welfare law across most EU member states.",Yes
92,Pet Law & Rights,Dog,Medium,"In Germany, which of the following dog types is typically subject to breed-specific legislation requiring special permits?",Labrador Retriever,Beagle,American Pit Bull Terrier,Standard Poodle,C,"Several German states (Bundesländer) classify certain breeds as 'Kampfhunde' (fighting dogs) and require owners to obtain special permits, pass behaviour assessments, and keep dogs muzzled and leashed in public. Rules vary by state.",Yes
93,Pet Law & Rights,All Pets,Easy,What must a licensed breeder legally provide when selling a puppy or kitten in most EU countries?,Nothing — a verbal agreement is sufficient,"Signed contract, vaccination records, microchip documentation, and health certificate",Only a receipt of payment,A 10-year genetic health guarantee,B,"EU consumer protection law treats pets as goods with implied warranties. Reputable breeders should also provide a pedigree certificate, deworming records, and a signed contract specifying terms of sale.",Yes
94,Pet Law & Rights,All Pets,Hard,What does the EU Zoonotic Diseases framework primarily address?,Diseases that only affect wild animals in protected areas,"Diseases transmissible between animals and humans — such as rabies, toxoplasmosis, and ringworm",Only diseases affecting livestock and farm animals,Legal liability for pet bites and scratches,B,"Zoonoses are diseases shared between animals and humans. Pet owners can reduce risk through regular parasite prevention, handwashing after handling animals, and vaccinating pets against rabies.",Yes
95,Pet Law & Rights,All Pets,Easy,"If a dog bites a person in most European countries, who is typically held legally liable?","The victim, for approaching an unknown dog",The original breeder of the dog,The dog's owner,The local municipality where the incident occurred,C,"In most EU countries, the dog's owner bears strict liability for bites — meaning they are responsible regardless of whether they were negligent. This underlines the importance of training, socialisation, and appropriate supervision.",Yes
96,Pet Law & Rights,Dog,Medium,"In most European Union countries, is microchipping dogs legally mandatory?",No — it is recommended but entirely optional,Yes — most EU member states require dogs to be microchipped by law,Only for dogs that travel between countries,Only for dogs that weigh over 20 kg,B,"Microchipping is mandatory for dogs in most EU countries, including Germany, France, Italy, and Spain. Requirements vary by country, so always check local regulations.",Yes
97,Pet Law & Rights,All Pets,Easy,What document do you need to travel legally with your pet between EU member states?,Nothing — pets travel freely within the EU,A valid EU Pet Passport issued by a licensed vet,A microchip certificate only,Proof of pet insurance,B,"The EU Pet Passport records the animal's microchip number, rabies vaccination history, and owner details. It is required for dogs, cats, and ferrets travelling within the EU.",Yes
98,Pet Law & Rights,All Pets,Hard,Which international frameworks set the main standards for legal trade in wild animals kept as pets?,WHO (World Health Organization),CITES (Convention on International Trade in Endangered Species),Interpol Animal Crime Unit,The EU Pet Directive alone,B,"CITES is the key international treaty regulating trade in protected wildlife. If you own an exotic pet (reptile, bird of prey, some parrots), you may need CITES documentation.",Yes
99,Pet Law & Rights,All Pets,Medium,Can a landlord in most European countries legally prohibit a tenant from keeping pets?,No — keeping a pet is a fundamental right that landlords cannot restrict,Yes — landlords can often include pet restrictions in rental agreements,Only for pets classified as dangerous under national law,Only cats can ever be restricted — dogs are always allowed,B,"In most European countries, landlords can restrict pets in tenancy agreements. Rules vary by country — Germany, for example, has specific case law balancing tenant and landlord rights.",Yes
100,Pet Law & Rights,All Pets,Medium,"In most European countries, what is the minimum age at which puppies and kittens can legally be rehomed?",4 weeks,6 weeks,8 weeks,12 weeks,C,"Eight weeks is the standard minimum in most EU countries, as it ensures adequate weaning and early socialisation with the mother and littermates. Some countries (e.g., Hungary) require 12 weeks for dogs.",Yes
